################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.0789413501805665E-01 a         1     0     1     1     1
  7.0640440746194388E-01 a         2     0     1     1     2
 -6.7277146664873144E-01 a         3     0     1     1     3
 -5.7453203680180165E-01 a         4     0     1     1     4
 -4.3155132826629050E-01 a         5     0     1     1     5
 -4.9181444111234063E-01 a         6     0     1     1     6
 -4.9520079025424552E-01 a         7     0     1     1     7
  1.7082788984777361E-01 a         8     0     1     1     8
  5.5137050397666176E-01 a         9     0     1     1     9
  7.7692115620223923E-01 a        10     0     1     1    10
 -3.2005780172888587E-01 a        11     0     1     1    11
 -2.0093394094687916E-01 a        12     0     1     1    12
 -4.2524042451495569E-01 a        13     0     1     1    13
 -2.2402377760585473E-01 a        14     0     1     1    14
 -4.8315466283040248E-01 a        15     0     1     1    15
  1.8470933857691577E-01 a        16     0     1     1    16
 -4.8612462548984225E-01 a        17     0     1     1    17
 -6.1994461132877554E-01 a        18     0     1     1    18
  4.4445601095784337E-01 a        19     0     1     1    19
  4.4760935214967257E-01 a        20     0     1     1    20
 -1.0500545743967407E-01 a        21     0     2     1     1
  7.7600762972597895E-02 a        22     0     2     1     2
 -2.7669999510123000E-01 a        23     0     2     1     3
  4.0534147222971517E-01 a        24     0     2     1     4
 -5.3379522027600923E-01 a        25     0     2     1     5
  1.7892922831023349E-02 a        26     0     2     1     6
  5.4367355036232623E-01 a        27     0     2     1     7
 -1.6413820491788089E-01 a        28     0     2     1     8
 -2.7645770826496541E-01 a        29     0     2     1     9
  5.1195126024585169E-01 a        30     0     2     1    10
 -6.0167393310183714E-01 a        31     0     2     1    11
  2.2600812936596928E-01 a        32     0     2     1    12
  8.5207026803488864E-02 a        33     0     2     1    13
  6.9547604156706433E-01 a        34     0     2     1    14
  3.2550077854924880E-01 a        35     0     2     1    15
 -4.9610022479026455E-01 a        36     0     2     1    16
  1.6986439865189498E-01 a        37     0     2     1    17
  4.1009663511591915E-01 a        38     0     2     1    18
 -4.7432667398014472E-01 a        39     0     2     1    19
 -3.4971157394737040E-01 a        40     0     2     1    20
  1.1240281297358842E-01 a        41     0     3     1     1
 -4.8060107238110988E-01 a        42     0     3     1     2
  5.4621173929073963E-01 a        43     0     3     1     3
  5.8032516160976644E-01 a        44     0     3     1     4
  1.0468094170653842E-02 a        45     0     3     1     5
 -7.2502949377978154E-01 a        46     0     3     1     6
  1.2523292193081678E-01 a        47     0     3     1     7
  3.3172986664305620E-01 a        48     0     3     1     8
 -1.9840966878306465E-01 a        49     0     3     1     9
 -3.3780819110159604E-01 a        50     0     3     1    10
  6.5037765267404068E-01 a        51     0     3     1    11
 -5.7861624394560585E-01 a        52     0     3     1    12
  1.8501521694034045E-01 a        53     0     3     1    13
 -4.8166547798682918E-01 a        54     0     3     1    14
  6.6034771808515647E-01 a        55     0     3     1    15
  2.1496563976050106E-01 a        56     0     3     1    16
  7.5261952889192285E-01 a        57     0     3     1    17
 -5.6190400219634917E-01 a        58     0     3     1    18
  6.7526457587354261E-01 a        59     0     3     1    19
 -1.2633038334381599E-01 a        60     0     3     1    20
 -4.3594084958158508E-01 a        61     0     4     1     1
 -1.8488585370045055E-01 a        62     0     4     1     2
  1.3089776031319053E-01 a        63     0     4     1     3
 -3.8233754636687983E-01 a        64     0     4     1     4
  2.4262104644810278E-01 a        65     0     4     1     5
 -1.2124640013015868E-01 a        66     0     4     1     6
 -6.5908765886138532E-01 a        67     0     4     1     7
  3.0326132069728001E-01 a        68     0     4     1     8
 -4.8565895390470176E-01 a        69     0     4     1     9
  4.8803194689004897E-01 a        70     0     4     1    10
  9.4348708220219051E-03 a        71     0     4     1    11
  2.9622437993001949E-01 a        72     0     4     1    12
 -3.1918763990459020E-01 a        73     0     4     1    13
  4.9326370480307552E-02 a        74     0     4     1    14
 -5.3128948368270479E-02 a        75     0     4     1    15
  6.4684631810788107E-01 a        76     0     4     1    16
 -2.1339416763917757E-01 a        77     0     4     1    17
  3.3635180622485561E-01 a        78     0     4     1    18
  6.3324481320869111E-02 a        79     0     4     1    19
 -2.7371693916336837E-01 a        80     0     4     1    20
 -1.6226844122155445E-01 a        81     0     5     1     1
  7.2171741736573602E-01 a        82     0     5     1     2
 -2.9087350641776805E-01 a        83     0     5     1     3
 -3.2405908408490108E-01 a        84     0     5     1     4
 -6.3671267575524071E-01 a        85     0     5     1     5
  3.4853750735555677E-01 a        86     0     5     1     6
  3.4650959770692691E-01 a        87     0     5     1     7
 -4.7000144511195141E-01 a        88     0     5     1     8
  5.8568183730654082E-02 a        89     0     5     1     9
  5.4236339384517074E-01 a        90     0     5     1    10
  4.8047132490188521E-01 a        91     0     5     1    11
  9.0491459285624715E-03 a        92     0     5     1    12
  4.1153325892842557E-01 a        93     0     5     1    13
  7.3234657717013352E-01 a        94     0     5     1    14
 -2.3115187219800604E-01 a        95     0     5     1    15
 -1.7542106258145376E-01 a        96     0     5     1    16
 -7.3607151452035735E-01 a        97     0     5     1    17
 -6.2556030631733284E-01 a        98     0     5     1    18
  7.9684117731970261E-01 a        99     0     5     1    19
 -1.6504925821064373E-01 a       100     0     5     1    20
  6.1023466528278003E-01 a       101     0     6     1     1
 -7.1177246375188130E-01 a       102     0     6     1     2
 -6.6827419454713696E-02 a       103     0     6     1     3
 -4.6670332499813455E-01 a       104     0     6     1     4
 -5.2192021199885774E-01 a       105     0     6     1     5
 -3.5267345101295422E-02 a       106     0     6     1     6
  2.8528454142972581E-01 a       107     0     6     1     7
  8.7683746286690722E-01 a       108     0     6     1     8
 -2.8889834193877434E-01 a       109     0     6     1     9
 -7.0981951294684420E-01 a       110     0     6     1    10
  7.8340489995960438E-01 a       111     0     6     1    11
  6.2805219536950874E-01 a       112     0     6     1    12
  5.5796821110277617E-01 a       113     0     6     1    13
  1.1352738471428918E-02 a       114     0     6     1    14
  3.7054670560475844E-01 a       115     0     6     1    15
 -4.6887668083581813E-01 a       116     0     6     1    16
  8.4635255790310637E-01 a       117     0     6     1    17
 -6.4613896076247324E-01 a       118     0     6     1    18
  4.3974751577282450E-02 a       119     0     6     1    19
 -1.5868616716426501E-01 a       120     0     6     1    20
 -4.8380906298083182E-01 a       121     0     7     1     1
  5.0307182114567950E-01 a       122     0     7     1     2
  8.0136992410153385E-01 a       123     0     7     1     3
 -1.9246053830989754E-01 a       124     0     7     1     4
  2.6432714282973607E-01 a       125     0     7     1     5
  3.7143948957903283E-01 a       126     0     7     1     6
 -4.1012892978016940E-01 a       127     0     7     1     7
 -4.7026173240134000E-02 a       128     0     7     1     8
 -7.0371933059407865E-01 a       129     0     7     1     9
 -4.6962353475054307E-02 a       130     0     7     1    10
 -5.1254896210347023E-01 a       131     0     7     1    11
  2.5315045795671870E-01 a       132     0     7     1    12
 -1.2171324878993002E-02 a       133     0     7     1    13
  3.9235714455534454E-01 a       134     0     7     1    14
 -3.3583752772639097E-01 a       135     0     7     1    15
  4.3444928111461167E-01 a       136     0     7     1    16
  1.6970789087875564E-02 a       137     0     7     1    17
 -2.4358819501816259E-01 a       138     0     7     1    18
