################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.7247557670700626E-01 a         1     0     1     1     1
  1.1014532901634880E-01 a         2     0     1     1     2
  3.2629624143160596E-01 a         3     0     1     1     3
 -1.5286647897888403E-01 a         4     0     1     1     4
 -6.5089026831504848E-01 a         5     0     1     1     5
 -4.7924064394459492E-01 a         6     0     1     1     6
 -8.7634422596287975E-01 a         7     0     1     1     7
  6.3045925923312174E-01 a         8     0     1     1     8
 -9.2127290466578596E-02 a         9     0     1     1     9
  6.2870369748387644E-01 a        10     0     1     1    10
  2.9356452179212361E-01 a        11     0     1     1    11
 -2.5507456866802886E-01 a        12     0     1     1    12
 -3.5820161112627244E-02 a        13     0     1     1    13
  8.2008499432417625E-01 a        14     0     1     1    14
  3.7170693059312865E-01 a        15     0     1     1    15
  3.3116445366829134E-01 a        16     0     1     1    16
  9.9652933024584989E-01 a        17     0     1     1    17
 -8.9467865159451021E-01 a        18     0     1     1    18
 -4.9673441618810316E-01 a        19     0     1     1    19
  1.1579770270344417E-02 a        20     0     1     1    20
 -2.5168073320199075E-02 a        21     0     2     1     1
  6.4968598710353528E-02 a        22     0     2     1     2
 -1.5919041300554646E-01 a        23     0     2     1     3
 -3.4730403275023020E-01 a        24     0     2     1     4
  1.3178866204817926E-02 a        25     0     2     1     5
 -1.0385234244742733E-01 a        26     0     2     1     6
 -3.2183881132354025E-01 a        27     0     2     1     7
 -4.9263070424999245E-01 a        28     0     2     1     8
 -4.2349922467555179E-01 a        29     0     2     1     9
  4.5361166496619576E-01 a        30     0     2     1    10
  1.6469903625661586E-01 a        31     0     2     1    11
 -1.9234445104418213E-01 a        32     0     2     1    12
 -5.1533904598827909E-02 a        33     0     2     1    13
 -5.4242392126860772E-01 a        34     0     2     1    14
  4.9430984923249049E-01 a        35     0     2     1    15
  1.1516325620509844E-01 a        36     0     2     1    16
  1.9235123551854742E-02 a        37     0     2     1    17
  6.3899828094623856E-01 a        38     0     2     1    18
 -3.9933292938540976E-01 a        39     0     2     1    19
  5.8621544182864893E-01 a        40     0     2     1    20
 -2.2085425616654381E-01 a        41     0     3     1     1
  7.4437462420414946E-01 a        42     0     3     1     2
 -1.7153764857157475E-01 a        43     0     3     1     3
 -7.4370054434970759E-02 a        44     0     3     1     4
  1.0444498229357124E-01 a        45     0     3     1     5
 -2.4109335343726659E-01 a        46     0     3     1     6
 -5.1203063418494062E-03 a        47     0     3     1     7
 -2.0429173830800468E-02 a        48     0     3     1     8
  2.2757934164177937E-01 a        49     0     3     1     9
  1.7154024725191774E-01 a        50     0     3     1    10
  6.0377002234277677E-01 a        51     0     3     1    11
  7.8755374941921596E-01 a        52     0     3     1    12
 -1.3523259255931130E-01 a        53     0     3     1    13
  5.8527171800992450E-01 a        54     0     3     1    14
 -7.8960890082482194E-01 a        55     0     3     1    15
  1.1145912721443392E+00 a        56     0     3     1    16
  3.8152758560079464E-01 a        57     0     3     1    17
 -5.6026247503268833E-01 a        58     0     3     1    18
  6.2905823693836038E-01 a        59     0     3     1    19
 -1.0561708607245070E-01 a        60     0     3     1    20
 -1.0412235790662221E-01 a        61     0     4     1     1
 -8.3415735282647818E-01 a        62     0     4     1     2
  1.0191455859086991E+00 a        63     0     4     1     3
 -3.9348549977833748E-02 a        64     0     4     1     4
 -4.4363776792700566E-02 a        65     0     4     1     5
  1.3048840091619474E-01 a        66     0     4     1     6
 -1.1441003086331634E-01 a        67     0     4     1     7
 -3.7389691478646198E-01 a        68     0     4     1     8
 -3.4614798913447870E-01 a        69     0     4     1     9
 -5.0176259579317140E-01 a        70     0     4     1    10
 -4.3228112080185999E-01 a        71     0     4     1    11
 -9.9174782855712540E-01 a        72     0     4     1    12
 -7.9461869041887026E-02 a        73     0     4     1    13
 -6.6933766206893963E-01 a        74     0     4     1    14
 -3.9981131114457833E-03 a        75     0     4     1    15
 -9.0679678638556371E-01 a        76     0     4     1    16
  1.9240510220669063E-01 a        77     0     4     1    17
 -5.2962078487912667E-01 a        78     0     4     1    18
  8.3155737033489663E-02 a        79     0     4     1    19
 -5.4356632212729530E-02 a        80     0     4     1    20
 -4.7781861875209397E-01 a        81     0     5     1     1
 -4.1276910666888475E-02 a        82     0     5     1     2
 -8.7196305076373493E-01 a        83     0     5     1     3
  3.3790812234568318E-01 a        84     0     5     1     4
  2.8533757197526344E-01 a        85     0     5     1     5
 -6.8163293586303952E-01 a        86     0     5     1     6
  8.8685468489515829E-01 a        87     0     5     1     7
  6.1184915793555184E-01 a        88     0     5     1     8
 -2.2117615518961897E-01 a        89     0     5     1     9
  1.0438864027468681E-01 a        90     0     5     1    10
 -4.4862927847362233E-01 a        91     0     5     1    11
 -6.6751370529246967E-01 a        92     0     5     1    12
  5.1397760231372314E-01 a        93     0     5     1    13
  8.5044861590267229E-01 a        94     0     5     1    14
 -5.9836730273927385E-02 a        95     0     5     1    15
 -7.6439045584100640E-01 a        96     0     5     1    16
  7.7262826894908521E-01 a        97     0     5     1    17
  3.7776112193310663E-01 a        98     0     5     1    18
 -5.8080730625911114E-01 a        99     0     5     1    19
  2.2941788227303214E-01 a       100     0     5     1    20
  6.3968814972749899E-01 a       101     0     6     1     1
  3.2376311781938460E-01 a       102     0     6     1     2
 -3.4549470086117479E-01 a       103     0     6     1     3
  3.2416377632799936E-01 a       104     0     6     1     4
 -6.2651447836819874E-01 a       105     0     6     1     5
  2.7864904009337943E-01 a       106     0     6     1     6
  3.8210500003250686E-01 a       107     0     6     1     7
 -9.9797371557500333E-02 a       108     0     6     1     8
  1.6761513041970433E-01 a       109     0     6     1     9
 -9.4391213836777099E-01 a       110     0     6     1    10
  5.8549191734687034E-01 a       111     0     6     1    11
 -1.6695330522969995E-01 a       112     0     6     1    12
  4.9652929511059218E-01 a       113     0     6     1    13
 -5.5086447381937564E-01 a       114     0     6     1    14
 -5.4440048584987588E-01 a       115     0     6     1    15
  1.0684401221955928E-01 a       116     0     6     1    16
 -4.0526893112129161E-02 a       117     0     6     1    17
