################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.9054307741707965E-01 a         1     0     1     1     1
 -5.4581450369734785E-01 a         2     0     1     1     2
  2.6013800213340665E-01 a         3     0     1     1     3
 -1.0825587303605835E+00 a         4     0     1     1     4
  3.8028238572181861E-01 a         5     0     1     1     5
  6.8874946699809603E-01 a         6     0     1     1     6
 -3.5490388829013708E-01 a         7     0     1     1     7
  9.0946546219904348E-02 a         8     0     1     1     8
  1.1871623161601697E-01 a         9     0     1     1     9
  4.6734334321715088E-01 a        10     0     1     1    10
  8.1023404662712362E-01 a        11     0     1     1    11
 -6.4008644897830458E-01 a        12     0     1     1    12
 -1.2088370155993731E+00 a        13     0     1     1    13
  7.6958050544204792E-01 a        14     0     1     1    14
 -3.8715993077539777E-02 a        15     0     1     1    15
  1.6259545761795766E-01 a        16     0     1     1    16
 -8.6064781738374763E-01 a        17     0     1     1    17
 -1.8703263097907452E-01 a        18     0     1     1    18
  1.1182889420697730E+00 a        19     0     1     1    19
  6.5968879871716302E-01 a        20     0     1     1    20
 -8.5665508086427755E-02 a        21     0     2     1     1
  3.4632930552417196E-01 a        22     0     2     1     2
  1.0448500178986722E+00 a        23     0     2     1     3
  6.2275847128571193E-01 a        24     0     2     1     4
 -1.7284562127092581E-01 a        25     0     2     1     5
 -2.3391084470480072E-01 a        26     0     2     1     6
  5.3395980387472286E-01 a        27     0     2     1     7
 -4.0452316799689292E-01 a        28     0     2     1     8
  1.9120634800649031E-01 a        29     0     2     1     9
  4.7477667466820594E-01 a        30     0     2     1    10
  3.7573029539071218E-01 a        31     0     2     1    11
  1.0117973035004864E+00 a        32     0     2     1    12
 -4.0847755977869260E-01 a        33     0     2     1    13
 -9.9196148985659804E-01 a        34     0     2     1    14
  5.5702737289374793E-01 a        35     0     2     1    15
 -2.0951661081250850E-01 a        36     0     2     1    16
  2.6999340653384596E-01 a        37     0     2     1    17
  5.2796592705366929E-01 a        38     0     2     1    18
  4.8194341645167693E-01 a        39     0     2     1    19
 -1.6745321588755602E-01 a        40     0     2     1    20
  6.5401161951930742E-01 a        41     0     3     1     1
  9.0523050027561980E-01 a        42     0     3     1     2
 -2.0258019294204019E-01 a        43     0     3     1     3
 -2.7028417747712880E-01 a        44     0     3     1     4
 -1.0389405966689800E+00 a        45     0     3     1     5
  3.4738141734848377E-01 a        46     0     3     1     6
 -5.1977584521053521E-01 a        47     0     3     1     7
 -2.5102229251471714E-01 a        48     0     3     1     8
 -6.0910828652704796E-01 a        49     0     3     1     9
  3.2365838318550910E-01 a        50     0     3     1    10
  8.8086937463733916E-02 a        51     0     3     1    11
 -6.6573533601526813E-01 a        52     0     3     1    12
 -2.7420928891692775E-01 a        53     0     3     1    13
  1.2025775616916821E-01 a        54     0     3     1    14
 -4.4038842034546062E-02 a        55     0     3     1    15
 -4.2308714832958633E-01 a        56     0     3     1    16
  8.9981186081585854E-02 a        57     0     3     1    17
  3.5454929762624016E-01 a        58     0     3     1    18
  4.8727734630138969E-01 a        59     0     3     1    19
  1.8490008554431339E+00 a        60     0     3     1    20
 -3.3839258333837281E-02 a        61     0     4     1     1
  6.0842694561345212E-01 a        62     0     4     1     2
  3.5583204735856450E-01 a        63     0     4     1     3
  1.1757372208019995E-01 a        64     0     4     1     4
  4.6595010244367641E-01 a        65     0     4     1     5
 -2.4366832308290881E-01 a        66     0     4     1     6
 -1.9341575065861322E-01 a        67     0     4     1     7
  3.2490068340200001E-01 a        68     0     4     1     8
  4.5481097352894978E-01 a        69     0     4     1     9
 -6.9971587502710419E-01 a        70     0     4     1    10
  1.2532110594132522E+00 a        71     0     4     1    11
  2.0638009794745449E-01 a        72     0     4     1    12
 -6.2247153596163995E-01 a        73     0     4     1    13
 -2.6904818737274805E-01 a        74     0     4     1    14
  9.0147875683699807E-01 a        75     0     4     1    15
  7.6395176662551589E-01 a        76     0     4     1    16
  1.4593342674100174E+00 a        77     0     4     1    17
 -5.8053639276517743E-01 a        78     0     4     1    18
  9.3848750316705543E-01 a        79     0     4     1    19
 -1.0315371313232606E+00 a        80     0     4     1    20
  1.1094301179904884E-01 a        81     0     5     1     1
 -8.0483054043286506E-01 a        82     0     5     1     2
 -3.9097131667340851E-01 a        83     0     5     1     3
  3.5630930177891301E-01 a        84     0     5     1     4
 -9.7711689385365286E-02 a        85     0     5     1     5
  1.5132270284289628E-01 a        86     0     5     1     6
  2.9374866196309768E-01 a        87     0     5     1     7
 -1.5590049049165608E-01 a        88     0     5     1     8
 -4.0127875736188767E-01 a        89     0     5     1     9
 -2.1792862047693262E-02 a        90     0     5     1    10
  2.1611418659918682E-01 a        91     0     5     1    11
 -4.6708418581827627E-01 a        92     0     5     1    12
  9.0662528201836856E-01 a        93     0     5     1    13
  1.0897976087721223E-01 a        94     0     5     1    14
 -3.1921864077373169E-01 a        95     0     5     1    15
  5.6056055075455236E-01 a        96     0     5     1    16
  1.4236027088445938E-01 a        97     0     5     1    17
 -4.6264359280017803E-01 a        98     0     5     1    18
  1.3024186814944091E-01 a        99     0     5     1    19
  1.4650109043492243E-01 a       100     0     5     1    20
  3.2789491582017877E-01 a       101     0     6     1     1
  1.8211975675772105E-01 a       102     0     6     1     2
  3.5935648821242927E-01 a       103     0     6     1     3
 -2.5929690954185142E-01 a       104     0     6     1     4
  4.1622503080649925E-01 a       105     0     6     1     5
  1.2602411515840732E+00 a       106     0     6     1     6
 -1.3361880422870756E-01 a       107     0     6     1     7
 -8.6460402005209089E-02 a       108     0     6     1     8
  3.6373862870776974E-01 a       109     0     6     1     9
 -7.7625304708246634E-01 a       110     0     6     1    10
  1.0277561274525524E+00 a       111     0     6     1    11
 -8.2661570931820180E-02 a       112     0     6     1    12
 -2.8369720846026630E-01 a       113     0     6     1    13
 -3.9549127834291470E-01 a       114     0     6     1    14
 -1.8427967835593664E-01 a       115     0     6     1    15
 -5.2587377462995633E-01 a       116     0     6     1    16
 -9.9452146611395853E-01 a       117     0     6     1    17
  8.5145336422871054E-01 a       118     0     6     1    18
 -2.4273066965764267E-02 a       119     0     6     1    19
  9.4894369781069976E-01 a       120     0     6     1    20
 -9.3935229183287350E-01 a       121     0     7     1     1
  2.6253257156403431E-01 a       122     0     7     1     2
 -9.1328296625295666E-02 a       123     0     7     1     3
 -4.8640323599566639E-02 a       124     0     7     1     4
  1.1953139565382389E+00 a       125     0     7     1     5
 -4.8344885175278313E-01 a       126     0     7     1     6
  6.6900342088894993E-01 a       127     0     7     1     7
  7.9305595439145726E-02 a       128     0     7     1     8
 -5.5847804250408284E-01 a       129     0     7     1     9
 -2.0873503579390854E-01 a       130     0     7     1    10
  5.0908416218286234E-01 a       131     0     7     1    11
 -1.7814142210454589E-01 a       132     0     7     1    12
