################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
         0          0   1.00000000E+02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E-02
         1         97   8.31899266E+01   5.31377874E-01   6.90409574E-13   1.38791359E-02   1.00058526E-03   9.99415078E-02
         2        194   7.14440292E+01   5.99364278E-01   7.45820256E-13   5.06546761E-02   1.00117087E-04   9.98830498E-01
         3        291   6.23602465E+01   6.02188868E-01   1.18025838E-12   4.39193536E-02   1.00175682E-05   1.02281821E+00
         4        388   5.78425789E+01   5.90150413E-01   2.07337088E-12   2.51013809E-02   1.00234311E-06   1.02281821E+00
         5        485   5.46477147E+01   5.76367731E-01   3.29943181E-12   1.85961177E-02   9.78835590E-07   1.02281821E+00
         6        582   5.21487735E+01   5.60943117E-01   3.65372641E-12   3.27344323E-02   9.78835590E-07   1.02281821E+00
         7        679   5.03427085E+01   5.49376134E-01   3.90244879E-12   1.86425346E-02   9.78835590E-07   1.02281821E+00
         8        776   4.88941159E+01   5.38856782E-01   4.13005449E-12   1.83134914E-02   9.78835590E-07   1.02281821E+00
         9        873   4.77406746E+01   5.30961245E-01   4.31916633E-12   1.42719992E-02   9.78835590E-07   1.02281821E+00
        10        970   4.68495580E+01   5.25415441E-01   4.33666866E-12   1.36185363E-02   9.78835590E-07   1.02281821E+00
        11       1067   4.60679700E+01   5.20866724E-01   4.35167118E-12   1.27055663E-02   9.78835590E-07   1.02281821E+00
        12       1164   4.53534081E+01   5.16603204E-01   4.36351761E-12   1.21452362E-02   9.78835590E-07   1.02281821E+00
        13       1261   4.46871892E+01   5.12324221E-01   4.36882795E-12   1.44082757E-02   9.78835590E-07   1.02281821E+00
        14       1358   4.40627014E+01   5.08764318E-01   4.37372220E-12   1.16278906E-02   9.78835590E-07   1.02281821E+00
        15       1455   4.35253802E+01   5.05371566E-01   4.37693158E-12   1.04461707E-02   9.78835590E-07   1.02281821E+00
