################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.3704715784200141E-01 a         1     0     1     1     1
 -4.2232798231876389E-01 a         2     0     1     1     2
  1.2734550244461118E-01 a         3     0     1     1     3
  9.6155076373184312E-01 a         4     0     1     1     4
 -7.4320284790491997E-01 a         5     0     1     1     5
 -4.4664333953091945E-01 a         6     0     1     1     6
  5.4879250880617170E-01 a         7     0     1     1     7
  5.6943402629154680E-03 a         8     0     1     1     8
  4.0715045989305826E-01 a         9     0     1     1     9
  7.5323052606231944E-01 a        10     0     1     1    10
  7.6677277169464611E-02 a        11     0     1     1    11
 -4.6700418814877875E-01 a        12     0     1     1    12
  9.7370730424730700E-01 a        13     0     1     1    13
 -6.0557901182305973E-01 a        14     0     1     1    14
 -6.0616249658351307E-01 a        15     0     1     1    15
 -1.3570250113743554E+00 a        16     0     1     1    16
 -6.3166894365355442E-01 a        17     0     1     1    17
 -7.6514108664829050E-01 a        18     0     1     1    18
 -6.6365121317841502E-01 a        19     0     1     1    19
  9.8494889899108248E-02 a        20     0     1     1    20
  5.6196260446284074E-01 a        21     0     2     1     1
  1.7255063074717869E-01 a        22     0     2     1     2
  8.0130361417145168E-01 a        23     0     2     1     3
 -3.8541465029939648E-01 a        24     0     2     1     4
  1.7140518629338874E-01 a        25     0     2     1     5
  1.2633833746839884E-01 a        26     0     2     1     6
 -2.1276007367896868E-01 a        27     0     2     1     7
  3.3151131259335931E-01 a        28     0     2     1     8
 -4.6277427065362703E-01 a        29     0     2     1     9
 -2.2439095700266773E-01 a        30     0     2     1    10
  5.2904729238406700E-01 a        31     0     2     1    11
 -4.5029885112135654E-02 a        32     0     2     1    12
  8.0086843499924165E-01 a        33     0     2     1    13
  4.3822598032186261E-01 a        34     0     2     1    14
 -2.9789013697681105E-01 a        35     0     2     1    15
  1.1552439261681249E-02 a        36     0     2     1    16
  1.7379551658109407E-01 a        37     0     2     1    17
  1.7471920281555439E-01 a        38     0     2     1    18
  6.7443758947935584E-01 a        39     0     2     1    19
 -1.5037831516430815E-02 a        40     0     2     1    20
 -4.6086867583992525E-01 a        41     0     3     1     1
 -6.8296945398858400E-01 a        42     0     3     1     2
 -1.1122236694556040E+00 a        43     0     3     1     3
  9.2818295041803289E-01 a        44     0     3     1     4
 -9.2947736873664033E-02 a        45     0     3     1     5
  2.7209299662798020E-01 a        46     0     3     1     6
 -6.5967411966468814E-01 a        47     0     3     1     7
 -6.3092450264272282E-01 a        48     0     3     1     8
  6.8033494128210603E-01 a        49     0     3     1     9
 -6.9449250726361789E-01 a        50     0     3     1    10
  1.8005926320955093E-01 a        51     0     3     1    11
  4.1150496214407062E-01 a        52     0     3     1    12
 -1.3663526677764137E-01 a        53     0     3     1    13
 -7.2040939177496266E-01 a        54     0     3     1    14
  1.9568375228295375E-02 a        55     0     3     1    15
 -1.7314434893484046E-01 a        56     0     3     1    16
  3.8030366787553671E-03 a        57     0     3     1    17
 -7.7743964184111055E-03 a        58     0     3     1    18
 -8.7517188822003988E-02 a        59     0     3     1    19
  5.0459714750124174E-01 a        60     0     3     1    20
 -6.3704105372124875E-01 a        61     0     4     1     1
  1.1941366718299997E+00 a        62     0     4     1     2
  7.8998056489009219E-02 a        63     0     4     1     3
  4.6251100193016342E-01 a        64     0     4     1     4
  3.5572461400518030E-01 a        65     0     4     1     5
 -5.0182682665313705E-01 a        66     0     4     1     6
  1.3941486534516121E+00 a        67     0     4     1     7
  3.3180313736232431E-01 a        68     0     4     1     8
  5.4776344866852145E-01 a        69     0     4     1     9
  1.0357913263247460E+00 a        70     0     4     1    10
 -6.1822787888296420E-02 a        71     0     4     1    11
  1.9997930755277532E-02 a        72     0     4     1    12
  1.3191680793904228E+00 a        73     0     4     1    13
  1.8679613001345262E-02 a        74     0     4     1    14
  2.9060024415366398E-01 a        75     0     4     1    15
 -1.6536627635392923E-01 a        76     0     4     1    16
 -1.1072898203997046E+00 a        77     0     4     1    17
 -1.2953808249892440E+00 a        78     0     4     1    18
 -5.2197286532207710E-01 a        79     0     4     1    19
 -9.0822247007644213E-02 a        80     0     4     1    20
 -1.0363655152354249E-01 a        81     0     5     1     1
  2.0816356612754044E-01 a        82     0     5     1     2
  1.3749362000284332E-01 a        83     0     5     1     3
 -6.7607590080941277E-02 a        84     0     5     1     4
 -3.8662738589973678E-01 a        85     0     5     1     5
  2.4168427061996203E-01 a        86     0     5     1     6
 -1.5046871207151633E-01 a        87     0     5     1     7
  5.9988743697437852E-01 a        88     0     5     1     8
 -7.8830688773497123E-02 a        89     0     5     1     9
 -4.5542525417817725E-01 a        90     0     5     1    10
 -1.0428660548950330E-01 a        91     0     5     1    11
 -5.3866415779332766E-01 a        92     0     5     1    12
 -3.4779467049341023E-01 a        93     0     5     1    13
  1.7512016172723563E-01 a        94     0     5     1    14
 -9.7506917819535677E-01 a        95     0     5     1    15
  8.1938606053419849E-02 a        96     0     5     1    16
 -8.3420957121407679E-02 a        97     0     5     1    17
  7.4963909728283384E-01 a        98     0     5     1    18
 -6.2431908328724561E-01 a        99     0     5     1    19
 -3.9118422901035782E-01 a       100     0     5     1    20
  6.7553387681706567E-01 a       101     0     6     1     1
 -1.1008678297878913E+00 a       102     0     6     1     2
 -1.0756222497300674E+00 a       103     0     6     1     3
  2.0102967067849609E-01 a       104     0     6     1     4
 -5.9787897230463127E-01 a       105     0     6     1     5
  3.3250212707681581E-02 a       106     0     6     1     6
  7.0923326464401693E-02 a       107     0     6     1     7
  2.5928533916277263E-01 a       108     0     6     1     8
 -1.0001041970268318E+00 a       109     0     6     1     9
  2.7787025796279247E-01 a       110     0     6     1    10
  1.3110293103440782E+00 a       111     0     6     1    11
  2.9503782443801702E-01 a       112     0     6     1    12
 -1.0075807544935679E-01 a       113     0     6     1    13
 -8.7505961302767010E-01 a       114     0     6     1    14
  6.9793042666999838E-01 a       115     0     6     1    15
  6.2335012273602808E-01 a       116     0     6     1    16
 -2.7200878311940346E-01 a       117     0     6     1    17
  1.3442510474413722E+00 a       118     0     6     1    18
 -2.0940295265999387E-01 a       119     0     6     1    19
  1.0679332485177075E+00 a       120     0     6     1    20
 -2.0591723501469170E-01 a       121     0     7     1     1
 -2.4116199494307053E-01 a       122     0     7     1     2
  8.7685333194233839E-01 a       123     0     7     1     3
 -9.5848058422240412E-01 a       124     0     7     1     4
 -4.0210736562446964E-01 a       125     0     7     1     5
  8.1157214644295239E-01 a       126     0     7     1     6
  1.4369607566210488E-01 a       127     0     7     1     7
  5.0149775802458896E-01 a       128     0     7     1     8
  6.0944164171645276E-01 a       129     0     7     1     9
  2.8700120693646397E-01 a       130     0     7     1    10
  4.4591825087302280E-03 a       131     0     7     1    11
 -8.4059806141194315E-01 a       132     0     7     1    12
 -2.7727471962397429E-02 a       133     0     7     1    13
  7.0786988896745384E-01 a       134     0     7     1    14
 -6.6739226061931478E-01 a       135     0     7     1    15
  5.5920685627335653E-01 a       136     0     7     1    16
  2.7421195029501155E-01 a       137     0     7     1    17
 -6.0811742536165274E-02 a       138     0     7     1    18
 -4.4647605807038288E-01 a       139     0     7     1    19
  6.3833944260707279E-03 a       140     0     7     1    20
 -2.7871318964172159E-01 a       141     0     8     1     1
  8.7565729492743982E-01 a       142     0     8     1     2
 -5.4167812269536997E-01 a       143     0     8     1     3
  1.8318207109262397E-01 a       144     0     8     1     4
 -1.5333674039746959E-02 a       145     0     8     1     5
 -7.9251641798513772E-01 a       146     0     8     1     6
  2.8648162339596939E-01 a       147     0     8     1     7
  3.0924391763388742E-01 a       148     0     8     1     8
 -1.2960740635832937E-01 a       149     0     8     1     9
  3.1148364560223540E-01 a       150     0     8     1    10
  1.5644902521104070E-01 a       151     0     8     1    11
  7.9891586969346085E-01 a       152     0     8     1    12
  3.6694274988014880E-01 a       153     0     8     1    13
  3.5276337608009334E-01 a       154     0     8     1    14
  4.8288796622981095E-01 a       155     0     8     1    15
  5.2864016244213152E-01 a       156     0     8     1    16
  7.0766513947815923E-01 a       157     0     8     1    17
  3.3754268548441307E-01 a       158     0     8     1    18
  3.2198237888128728E-01 a       159     0     8     1    19
  1.9814472947134390E-01 a       160     0     8     1    20
 -1.3882121585141260E-01 a       161     0     9     1     1
 -4.1838679581994664E-01 a       162     0     9     1     2
  3.1136064195466395E-01 a       163     0     9     1     3
  2.5862758423183505E-02 a       164     0     9     1     4
 -3.0489051927585142E-01 a       165     0     9     1     5
  8.5228859638042354E-01 a       166     0     9     1     6
  5.1843980944473296E-02 a       167     0     9     1     7
 -3.3096805385864525E-01 a       168     0     9     1     8
 -3.7444666811111402E-02 a       169     0     9     1     9
  1.0564795648621919E-01 a       170     0     9     1    10
  2.3129251609627566E-01 a       171     0     9     1    11
 -2.9971206530312317E-01 a       172     0     9     1    12
 -3.8238239033012006E-01 a       173     0     9     1    13
