################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.1139562656462193E-01 a         1     0     1     1     1
  7.2020734844359877E-03 a         2     0     1     1     2
  2.1299579299488933E-01 a         3     0     1     1     3
  6.3773088507375703E-02 a         4     0     1     1     4
  6.9372423481781376E-01 a         5     0     1     1     5
  5.7832695729926242E-01 a         6     0     1     1     6
  4.3643331925453543E-01 a         7     0     1     1     7
 -6.0051429539043011E-01 a         8     0     1     1     8
  7.5481727112541763E-01 a         9     0     1     1     9
 -1.5744349923057466E-01 a        10     0     1     1    10
  4.9405391059301923E-01 a        11     0     1     1    11
  2.2585787732088011E-01 a        12     0     1     1    12
 -1.2758363539844392E-01 a        13     0     1     1    13
 -3.1704394582441303E-01 a        14     0     1     1    14
  1.6069141810928217E-01 a        15     0     1     1    15
  4.1567854342601002E-01 a        16     0     1     1    16
  5.8217943086451340E-01 a        17     0     1     1    17
  7.3509425778489235E-01 a        18     0     1     1    18
 -4.4098422099261597E-01 a        19     0     1     1    19
 -3.9603896971594410E-01 a        20     0     1     1    20
 -1.6455396113203991E-01 a        21     0     2     1     1
  5.8249234302142772E-01 a        22     0     2     1     2
  7.6288318289841994E-01 a        23     0     2     1     3
  4.8805337238931801E-01 a        24     0     2     1     4
  7.0997359797559079E-01 a        25     0     2     1     5
 -1.9286484776271953E-01 a        26     0     2     1     6
 -4.9932284446596942E-01 a        27     0     2     1     7
 -7.8546668140278852E-01 a        28     0     2     1     8
 -5.6154608655102012E-01 a        29     0     2     1     9
  5.0217495528725598E-01 a        30     0     2     1    10
  9.9598401728740149E-01 a        31     0     2     1    11
  5.0550232611885759E-01 a        32     0     2     1    12
 -4.4546123071904390E-03 a        33     0     2     1    13
 -8.7000856319563902E-01 a        34     0     2     1    14
 -4.2387456281929026E-01 a        35     0     2     1    15
  3.8756842360442462E-01 a        36     0     2     1    16
  4.9728679585250901E-01 a        37     0     2     1    17
  3.5689957062441707E-01 a        38     0     2     1    18
 -2.4309670715426021E-01 a        39     0     2     1    19
 -4.9402256048469878E-01 a        40     0     2     1    20
 -2.0222599381380013E-01 a        41     0     3     1     1
 -6.0348696932581880E-01 a        42     0     3     1     2
 -2.7708611089281443E-01 a        43     0     3     1     3
 -7.4863635961924069E-01 a        44     0     3     1     4
 -5.2280715626891139E-01 a        45     0     3     1     5
  1.2784918898206196E-01 a        46     0     3     1     6
 -5.0098814094721678E-01 a        47     0     3     1     7
 -1.6740330395518480E-01 a        48     0     3     1     8
  5.4297432063947926E-01 a        49     0     3     1     9
 -2.8803579944263891E-01 a        50     0     3     1    10
 -1.5612645269069417E-01 a        51     0     3     1    11
  5.0510868593974534E-01 a        52     0     3     1    12
  1.1893738783174944E-01 a        53     0     3     1    13
 -2.0657607739659573E-01 a        54     0     3     1    14
  7.4114331066397832E-01 a        55     0     3     1    15
  7.7485142701552545E-02 a        56     0     3     1    16
 -3.4025220247793458E-01 a        57     0     3     1    17
 -3.1290082044947626E-01 a        58     0     3     1    18
  4.8024609408177044E-01 a        59     0     3     1    19
 -8.9396361312961359E-02 a        60     0     3     1    20
  8.1859840478820101E-01 a        61     0     4     1     1
 -1.9624982111777753E-01 a        62     0     4     1     2
 -3.8880039418378576E-01 a        63     0     4     1     3
  5.5112871198098001E-01 a        64     0     4     1     4
 -5.4561947274792577E-01 a        65     0     4     1     5
  5.4148255460103989E-01 a        66     0     4     1     6
 -4.0722870428891228E-01 a        67     0     4     1     7
 -6.2658642134520648E-01 a        68     0     4     1     8
  3.0220307954124781E-01 a        69     0     4     1     9
 -4.0515591269425882E-01 a        70     0     4     1    10
  6.9115205694347470E-01 a        71     0     4     1    11
 -3.3457535835622648E-01 a        72     0     4     1    12
 -1.8446605178044420E-01 a        73     0     4     1    13
