################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
         0          0   1.00000000E+02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E-02
         1         93   8.32405921E+01   5.36722516E-01   6.92564423E-13   1.60547152E-02   1.00058526E-03   9.99415078E-02
         2        186   7.10277411E+01   5.98159466E-01   7.27621315E-13   5.82474399E-02   1.00117087E-04   9.98830498E-01
         3        279   6.17798759E+01   6.01317078E-01   9.82039263E-13   4.80782742E-02   1.00175682E-05   1.02386277E+00
         4        372   5.70280224E+01   5.85100062E-01   1.66637508E-12   2.51282153E-02   1.00234311E-06   1.02386277E+00
         5        465   5.33733389E+01   5.67483603E-01   2.63004382E-12   2.34163199E-02   9.77836974E-07   1.02386277E+00
         6        558   5.10699942E+01   5.52735733E-01   3.53533159E-12   1.89676611E-02   9.77836974E-07   1.02386277E+00
         7        651   4.94375421E+01   5.40160119E-01   3.91639179E-12   1.74329648E-02   9.77836974E-07   1.02386277E+00
         8        744   4.81212173E+01   5.30083073E-01   4.13551209E-12   1.39974661E-02   9.77836974E-07   1.02386277E+00
         9        837   4.69879939E+01   5.21312104E-01   4.30418188E-12   1.38515987E-02   9.77836974E-07   1.02386277E+00
        10        930   4.61569279E+01   5.15146041E-01   4.40630425E-12   1.48005097E-02   9.77836974E-07   1.02386277E+00
        11       1023   4.54350720E+01   5.10181935E-01   4.51004382E-12   1.40782724E-02   9.77836974E-07   1.02386277E+00
        12       1116   4.47935990E+01   5.06070858E-01   4.53439820E-12   1.21682916E-02   9.77836974E-07   1.02386277E+00
        13       1209   4.42371745E+01   5.02506329E-01   4.54589921E-12   1.78368811E-02   9.77836974E-07   1.02386277E+00
        14       1302   4.36529660E+01   4.98761298E-01   4.57215275E-12   1.20053005E-02   9.77836974E-07   1.02386277E+00
        15       1395   4.31305774E+01   4.95491832E-01   4.60076025E-12   1.14481907E-02   9.77836974E-07   1.02386277E+00
